71881	Ο	A	I	1	a	little	urn:cts:greekLit:tlg0000.tlg001.perseus-grc1:13
71882	ὁ1	B	I	1	a	the,	urn:cts:greekLit:tlg0321.tlg001.perseus-grc1:
71882	ὁ1	B	I	1	a	the,	urn:cts:greekLit:tlg0012.tlg001.perseus-grc1:1:167
71882	ὁ1	B	I	1	a	the,	urn:cts:greekLit:tlg0012.tlg001.perseus-grc1:7:412
71882	ὁ1	B	I	1	a	the,	urn:cts:greekLit:tlg0012.tlg001.perseus-grc1:9:309
71882	ὁ1	B	I	1	a	the,	urn:cts:greekLit:tlg0012.tlg001.perseus-grc1:12:289
71882	ὁ1	B	I	1	a	the,	urn:cts:greekLit:tlg0012.tlg002.perseus-grc1:19:372
71882	ὁ1	B	I	1	a	the,	urn:cts:greekLit:tlg0012.tlg001.perseus-grc1:11:178
71882	ὁ1	B	I	1	a	the,	urn:cts:greekLit:tlg0012.tlg001.perseus-grc1:17:80
71882	ὁ1	B	I	1	a	the,	urn:cts:greekLit:tlg0012.tlg001.perseus-grc1:22:59
71882	ὁ1	B	I	1	a	the,	urn:cts:greekLit:tlg0012.tlg001.perseus-grc1:23:325
71882	ὁ1	B	I	1	a	the,	urn:cts:greekLit:tlg0012.tlg001.perseus-grc1:265s
71882	ὁ1	B	I	1	a	the,	urn:cts:greekLit:tlg0012.tlg001.perseus-grc1:2:674
71882	ὁ1	B	I	1	a	the,	urn:cts:greekLit:tlg0012.tlg001.perseus-grc1:24:543
71882	ὁ1	B	I	1	a	the,	urn:cts:greekLit:tlg0012.tlg001.perseus-grc1:17:720
71882	ὁ1	B	I	1	a	the,	urn:cts:greekLit:tlg0012.tlg001.perseus-grc1:23:583
71882	ὁ1	B	I	1	a	the,	urn:cts:greekLit:tlg0012.tlg001.perseus-grc1:733
71882	ὁ1	B	I	1	a	the,	urn:cts:greekLit:tlg0012.tlg001.perseus-grc1:1:6
71882	ὁ1	B	I	1	a	the,	urn:cts:greekLit:tlg0012.tlg001.perseus-grc1:23:454
71882	ὁ1	B	I	1	a	the,	urn:cts:greekLit:tlg0012.tlg001.perseus-grc1:9:559
71882	ὁ1	B	I	1	a	the,	urn:cts:greekLit:tlg0321.tlg001.perseus-grc1:
71882	ὁ1	B	I	1	a	my	urn:cts:greekLit:tlg0019.tlg001.perseus-grc1:5
71882	ὁ1	B	I	1	a	my	urn:cts:greekLit:tlg0027.tlg001.perseus-grc1:61
71882	ὁ1	B	I	1	a	my	urn:cts:greekLit:tlg0011.tlg002.perseus-grc1:190
71882	ὁ1	B	I	1	a	my	urn:cts:greekLit:tlg0003.tlg001.perseus-grc1:1:12
71882	ὁ1	B	I	1	a	my	urn:cts:greekLit:tlg0059.tlg030.perseus-grc1:372b
71882	ὁ1	B	I	1	b	the	urn:cts:greekLit:tlg0059.tlg030.perseus-grc1:1:1
71882	ὁ1	B	I	1	b	the	urn:cts:greekLit:tlg0000.tlg001.perseus-grc1:
71882	ὁ1	B	I	1	b	the	urn:cts:greekLit:tlg0003.tlg001.perseus-grc1:
71882	ὁ1	B	I	1	b	the	urn:cts:greekLit:tlg0003.tlg001.perseus-grc1:3:70
71882	ὁ1	B	I	1	b	the	urn:cts:greekLit:tlg0003.tlg001.perseus-grc1:8:104
71882	ὁ1	B	I	1	b	the	urn:cts:greekLit:tlg0003.tlg001.perseus-grc1:105
71882	ὁ1	B	I	1	b	the	Eur. Fr. 480
71882	ὁ1	B	I	1	b	the	urn:cts:greekLit:tlg0011.tlg004.perseus-grc1:729
71882	ὁ1	B	I	1	b	the	urn:cts:greekLit:tlg0011.tlg005.perseus-grc1:35
71882	ὁ1	B	I	4	a	the	urn:cts:greekLit:tlg0011.tlg002.perseus-grc1:1348
71882	ὁ1	B	I	4	a	the	urn:cts:greekLit:tlg0059.tlg004.perseus-grc1:62b
71882	ὁ1	B	I	4	a	the	urn:cts:greekLit:tlg0016.tlg001.perseus-grc1:1:86
71882	ὁ1	B	I	5	a	the word	urn:cts:greekLit:tlg0006.tlg005.perseus-grc1:265
71882	ὁ1	B	I	5	a	the word	urn:cts:greekLit:tlg0059.tlg024:72e
71882	ὁ1	B	I	5	a	the word	urn:cts:greekLit:tlg0059.tlg030.perseus-grc1:431e
71882	ὁ1	B	I	5	a	the word	urn:cts:greekLit:tlg0032.tlg007.perseus-grc1:5:1:21
71882	ὁ1	B	I	5	a	the word	urn:cts:greekLit:tlg0059.tlg030.perseus-grc1:327c
71882	ὁ1	B	I	5	a	the word	urn:cts:greekLit:tlg0014.tlg023.perseus-grc1:148
71882	ὁ1	B	I	5	a	the word	urn:cts:greekLit:tlg0086.tlg035.perseus-grc1:1283b:11
71882	ὁ1	B	I	6	a	the	urn:cts:greekLit:tlg0059.tlg005.perseus-grc1:435a
71882	ὁ1	B	I	6	a	the	urn:cts:greekLit:tlg0059.tlg032:115b
71882	ὁ1	B	I	6	a	the	urn:cts:greekLit:tlg0059.tlg030.perseus-grc1:469b
71882	ὁ1	B	I	6	a	the	urn:cts:greekLit:tlg0059.tlg022:320d
71882	ὁ1	B	I	6	a	the	urn:cts:greekLit:tlg0030.tlg002.perseus-grc1:2
71882	ὁ1	B	I	6	a	the	urn:cts:greekLit:tlg0086.tlg025.perseus-grc1:987a:8
71882	ὁ1	B	I	6	a	the	urn:cts:greekLit:tlg0540.tlg023.perseus-grc1:8
71882	ὁ1	B	I	6	a	the	urn:cts:greekLit:tlg0032.tlg001.perseus-grc1:2:3:25
71882	ὁ1	B	II	1	a	son	urn:cts:greekLit:tlg0003.tlg001.perseus-grc1:4:104
71882	ὁ1	B	II	1	a	son	urn:cts:greekLit:tlg0006.tlg014.perseus-grc1:470
71882	ὁ1	B	II	1	a	son	urn:cts:greekLit:tlg0540.tlg032.perseus-grc1:24
71882	ὁ1	B	II	1	a	son	urn:cts:greekLit:tlg0640.tlg001:2:2:10
71882	ὁ1	B	II	1	a	son	urn:cts:greekLit:tlg0011.tlg001.perseus-grc1:
71882	ὁ1	B	II	1	a	son	urn:cts:greekLit:tlg0019.tlg010.perseus-grc1:46
71882	ὁ1	B	II	1	a	son	urn:cts:greekLit:tlg0032.tlg006.perseus-grc1:1:2:15
71882	ὁ1	B	II	1	a	son	urn:cts:greekLit:tlg0321.tlg001.perseus-grc1:
71882	ὁ1	B	II	1	a	son	urn:cts:greekLit:tlg0627.tlg015:20
71882	ὁ1	B	II	2	a	the matter of	urn:cts:greekLit:tlg0003.tlg001.perseus-grc1:4:23
71882	ὁ1	B	II	2	a	the matter of	urn:cts:greekLit:tlg0003.tlg001.perseus-grc1:6:60
71882	ὁ1	B	II	2	a	the matter of	urn:cts:greekLit:tlg0003.tlg001.perseus-grc1:4:83
71882	ὁ1	B	II	2	a	the matter of	urn:cts:greekLit:tlg0003.tlg001.perseus-grc1:6:89
71882	ὁ1	B	II	2	a	the matter of	urn:cts:greekLit:tlg0003.tlg001.perseus-grc1:4:18
71882	ὁ1	B	II	2	a	the matter of	urn:cts:greekLit:tlg0003.tlg001.perseus-grc1:55
71882	ὁ1	B	II	2	a	the matter of	urn:cts:greekLit:tlg0006.tlg008.perseus-grc1:78
71882	ὁ1	B	II	2	a	the matter of	urn:cts:greekLit:tlg0011.tlg001.perseus-grc1:498
71882	ὁ1	B	II	2	a	the matter of	urn:cts:greekLit:tlg0011.tlg003.perseus-grc1:124
71882	ὁ1	B	II	2	a	the matter of	urn:cts:greekLit:tlg0011.tlg005.perseus-grc1:251
71882	ὁ1	B	II	2	a	the matter of	urn:cts:greekLit:tlg0011.tlg005.perseus-grc1:3
71882	ὁ1	B	II	2	a	the matter of	urn:cts:greekLit:tlg0006.tlg005.perseus-grc1:48
71882	ὁ1	B	II	2	a	the matter of	urn:cts:greekLit:tlg0016.tlg001.perseus-grc1:1:86
71882	ὁ1	B	II	2	a	the matter of	urn:cts:greekLit:tlg0059.tlg006.perseus-grc1:183e
71882	ὁ1	B	II	2	a	the matter of	urn:cts:greekLit:tlg0019.tlg004.perseus-grc1:1432
71882	ὁ1	B	II	2	a	the matter of	urn:cts:greekLit:tlg0014.tlg054.perseus-grc1:7
71882	ὁ1	B	II	2	a	the matter of	urn:cts:greekLit:tlg0005.tlg001.perseus-grc1:2:76
71882	ὁ1	B	II	2	a	the matter of	urn:cts:greekLit:tlg0650.tlg001:5:52
71882	ὁ1	B	II	2	a	the matter of	urn:cts:greekLit:tlg0031.tlg003.perseus-grc1:2:49
71882	ὁ1	B	II	3	a	the	urn:cts:greekLit:tlg0003.tlg001.perseus-grc1:4:13
71882	ὁ1	B	II	3	a	the	urn:cts:greekLit:tlg0003.tlg001.perseus-grc1:1:3
71882	ὁ1	B	II	3	a	the	urn:cts:greekLit:tlg0003.tlg001.perseus-grc1:1:2
71882	ὁ1	B	II	3	a	the	urn:cts:greekLit:tlg0003.tlg001.perseus-grc1:1:59
71882	ὁ1	B	II	3	a	the	urn:cts:greekLit:tlg0003.tlg001.perseus-grc1:7:70
71882	ὁ1	B	II	3	a	the	urn:cts:greekLit:tlg0003.tlg001.perseus-grc1:8:48
71882	ὁ1	B	II	3	a	the	urn:cts:greekLit:tlg0003.tlg001.perseus-grc1:2:87
71882	ὁ1	C	I	1	a	he who	urn:cts:greekLit:tlg0005.tlg001.perseus-grc1:15:86
71882	ὁ1	C	I	1	a	he who	urn:cts:greekLit:tlg0000.tlg001.perseus-grc1:
71882	ὁ1	C	I	1	a	he who	urn:cts:greekLit:tlg0000.tlg001.perseus-grc1:25
71882	ὁ1	C	I	1	a	he who	urn:cts:greekLit:tlg0000.tlg001.perseus-grc1:
71882	ὁ1	C	I	1	a	he who	urn:cts:greekLit:tlg0012.tlg002.perseus-grc1:4:160
71882	ὁ1	C	I	1	a	he who	urn:cts:greekLit:tlg0016.tlg001.perseus-grc1:1:7
