102123	ταβαίτας	A	I	1	a	wooden bowl	urn:cts:greekLit:tlg0008.tlg001.perseus-grc1:14:500d
102164	τάγηνον	A	I	1	a	frying-pan, saucepan	urn:cts:greekLit:tlg0000.tlg001.perseus-grc1:
102164	τάγηνον	A	I	1	a	frying-pan, saucepan	urn:cts:greekLit:tlg0000.tlg001.perseus-grc1:
102164	τάγηνον	A	I	1	a	frying-pan, saucepan	urn:cts:greekLit:tlg0008.tlg001.perseus-grc1:6:228f
102164	τάγηνον	A	I	1	a	frying-pan, saucepan	urn:cts:greekLit:tlg0237.tlg001:26
102165	ταγηνοστρόφιον	A	I	1	a	slice for turning things over in a frying-pan	urn:cts:greekLit:tlg0542.tlg001:6:89
102165	ταγηνοστρόφιον	A	I	1	a	slice for turning things over in a frying-pan	urn:cts:greekLit:tlg0542.tlg001:10:98
102165	ταγηνοστρόφιον	A	I	1	a	slice for turning things over in a frying-pan	urn:cts:greekLit:tlg0000.tlg001.perseus-grc1:
102167	τάγμα	A	I	1	a	ordinance, command	urn:cts:greekLit:tlg0059.tlg037:414e
102167	τάγμα	A	I	1	a	ordinance, command	urn:cts:greekLit:tlg0086.tlg035.perseus-grc1:1294b:6
102167	τάγμα	A	II	1	a	fixed assessment	urn:cts:greekLit:tlg0086.tlg029:1349a:24
102167	τάγμα	A	II	1	a	fixed assessment	urn:cts:greekLit:tlg0000.tlg001.perseus-grc1:
102167	τάγμα	A	III	1	a	body of soldiers, division, brigade	urn:cts:greekLit:tlg0032.tlg002.perseus-grc1:3:1:11
102167	τάγμα	A	III	1	a	body of soldiers, division, brigade	Perseus:abo:pap,P.Frankf.:7:5
102167	τάγμα	A	III	1	a	body of soldiers, division, brigade	urn:cts:greekLit:tlg1599.tlg001:96:48
102167	τάγμα	A	III	1	a	body of soldiers, division, brigade	urn:cts:greekLit:tlg1599.tlg001:103:28
102167	τάγμα	A	III	1	a	body of soldiers, division, brigade	Perseus:abo:pap,P.Rein.:14:31
102167	τάγμα	A	III	1	a	body of soldiers, division, brigade	urn:cts:greekLit:tlg0543.tlg001.perseus-grc1:3:85:3
102167	τάγμα	A	III	1	b	manipulus	urn:cts:greekLit:tlg0543.tlg001.perseus-grc1:6:24:5
102167	τάγμα	A	III	1	c	legio, legion	urn:cts:greekLit:tlg0081.tlg001:6:42
102167	τάγμα	A	III	1	c	legio, legion	urn:cts:greekLit:tlg0099.tlg001.perseus-grc1:3:3:8
102167	τάγμα	A	III	1	c	legio, legion	urn:cts:greekLit:tlg0007.tlg066:12
102167	τάγμα	A	III	1	c	legio, legion	urn:cts:greekLit:tlg0385.tlg001:71:9
102167	τάγμα	A	III	1	c	legio, legion	urn:cts:greekLit:tlg0000.tlg001.perseus-grc1:4693
102167	τάγμα	A	IV	1	a	order, rank,	urn:cts:greekLit:tlg0000.tlg001.perseus-grc1:
102167	τάγμα	A	IV	1	a	order, rank,	urn:cts:greekLit:tlg0000.tlg001.perseus-grc1:
102167	τάγμα	A	IV	1	a	order, rank,	urn:cts:greekLit:tlg0000.tlg001.perseus-grc1:2803
102167	τάγμα	A	IV	1	a	order, rank,	Perseus:abo:pap,P.Oxy.:1252v
102167	τάγμα	A	IV	1	a	order, rank,	http://www.trismegistos.org/text/62641
102167	τάγμα	A	IV	1	a	order, rank,	urn:cts:greekLit:tlg0000.tlg001.perseus-grc1:
102167	τάγμα	A	IV	1	a	order, rank,	urn:cts:greekLit:tlg0000.tlg001.perseus-grc1:3765
102167	τάγμα	A	IV	1	a	order, rank,	urn:cts:greekLit:tlg0000.tlg001.perseus-grc1:
102167	τάγμα	A	V	1	a	arrangement	urn:cts:greekLit:tlg0000.tlg001.perseus-grc1:114
102167	τάγμα	A	V	1	a	arrangement	urn:cts:greekLit:tlg0383.tlg001:153
102167	τάγμα	A	V	2	a	status	urn:cts:greekLit:tlg0537.tlg006:1p.24U
102167	τάγμα	A	V	2	a	status	urn:cts:greekLit:tlg1595.tlg290:5
102167	τάγμα	A	V	2	a	status	urn:cts:greekLit:tlg0000.tlg001.perseus-grc1:1
102167	τάγμα	A	V	2	a	status	Perseus:abo:pap,P.Lond.:2:358:7
102168	ταγματάρχης	A	I	1	a	leader of a	urn:cts:greekLit:tlg0081.tlg001:20:4
102168	ταγματάρχης	A	I	1	a	leader of a	urn:cts:greekLit:tlg0648.tlg001.perseus-grc1:42:8
102168	ταγματάρχης	A	I	1	a	leader of a	urn:cts:greekLit:tlg0018.tlg001:1:368
102169	ταγματικός	A	I	1	a	of	urn:cts:greekLit:tlg0018.tlg001:111
102169	ταγματικός	A	I	1	a	of	urn:cts:greekLit:tlg0060.tlg001.perseus-grc3:17:94
102169	ταγματικός	A	I	1	a	of	urn:cts:greekLit:tlg0000.tlg001.perseus-grc1:
102169	ταγματικός	A	I	1	a	of	urn:cts:greekLit:tlg0000.tlg001.perseus-grc1:111
102169	ταγματικός	A	I	1	a	of	urn:cts:greekLit:tlg0000.tlg001.perseus-grc1:5
102169	ταγματικός	A	II	1	a	legionarius,	urn:cts:greekLit:tlg0000.tlg001.perseus-grc1:
102171	ταγός	A	I	1	a	commander, ruler, chief	urn:cts:greekLit:tlg0085.tlg003.perseus-grc1:96
102171	ταγός	A	I	1	a	commander, ruler, chief	urn:cts:greekLit:tlg0085.tlg002.perseus-grc1:23
102171	ταγός	A	I	1	a	commander, ruler, chief	urn:cts:greekLit:tlg0085.tlg005.perseus-grc1:110
102171	ταγός	A	I	1	a	commander, ruler, chief	urn:cts:greekLit:tlg0085.tlg002.perseus-grc1:324
102171	ταγός	A	I	1	a	commander, ruler, chief	urn:cts:greekLit:tlg0085.tlg002.perseus-grc1:480
102171	ταγός	A	I	1	a	commander, ruler, chief	urn:cts:greekLit:tlg0011.tlg002.perseus-grc1:1057
102171	ταγός	A	I	1	a	commander, ruler, chief	urn:cts:greekLit:tlg0006.tlg018.perseus-grc1:269
102171	ταγός	A	I	1	a	commander, ruler, chief	urn:cts:greekLit:tlg0019.tlg002.perseus-grc1:159
102171	ταγός	A	II	1	a	federal commander	urn:cts:greekLit:tlg0032.tlg001.perseus-grc1:6:1:6
102171	ταγός	A	II	1	a	federal commander	urn:cts:greekLit:tlg0032.tlg001.perseus-grc1:6:4:28
102171	ταγός	A	II	2	a	college of magistrates	urn:cts:greekLit:tlg0000.tlg001.perseus-grc1:
102171	ταγός	A	II	2	a	college of magistrates	urn:cts:greekLit:tlg0000.tlg001.perseus-grc1:55
102171	ταγός	A	II	2	a	college of magistrates	urn:cts:greekLit:tlg0000.tlg001.perseus-grc1:116
102171	ταγός	A	II	2	a	college of magistrates	urn:cts:greekLit:tlg0000.tlg001.perseus-grc1:170
102171	ταγός	A	II	3	a	president	urn:cts:greekLit:tlg0000.tlg001.perseus-grc1:323
102171	ταγός	A	II	3	a	president	urn:cts:greekLit:tlg0000.tlg001.perseus-grc1:11
102171	ταγός	A	II	3	a	president	urn:cts:greekLit:tlg0000.tlg001.perseus-grc1:
102171	ταγός	A	II	3	a	president	urn:cts:greekLit:tlg0012.tlg001.perseus-grc1:23:160
102172	ταγοῦχος	A	I	1	a	having command, commander	urn:cts:greekLit:tlg0085.tlg007.perseus-grc1:296
102173	τάγυρῐ	A	I	1	a	little bit, morsel	urn:cts:greekLit:tlg0461.tlg001:3
102173	τάγυρῐ	A	I	1	a	little bit, morsel	urn:cts:greekLit:tlg0000.tlg001.perseus-grc1:120
102173	τάγυρῐ	A	I	1	a	little bit, morsel	urn:cts:greekLit:tlg0000.tlg001.perseus-grc1:
102174	τάγχαρας	A	I	1	a	gold	urn:cts:greekLit:tlg0000.tlg001.perseus-grc1:199
102174	τάγχαρας	A	I	1	a	gold	urn:cts:greekLit:tlg0000.tlg001.perseus-grc1:
102174	τάγχαρας	A	I	1	a	gold	urn:cts:greekLit:tlg0000.tlg001.perseus-grc1:
102174	τάγχαρας	A	I	1	a	gold	urn:cts:greekLit:tlg0144.tlg001:p.351
102176	τᾷδε	A	I	1	a	here,	urn:cts:greekLit:tlg0000.tlg001.perseus-grc1:
102177	τάδην	A	I	1	a	on the stretch,	urn:cts:greekLit:tlg0000.tlg001.perseus-grc1:
102179	ταθρίσιον	A	I	1	a	PLond.ined.	urn:cts:greekLit:tlg0000.tlg001.perseus-grc1:2143
102180	Ταιναριεύς	A	I	1	a	native of Taenarus	urn:cts:greekLit:tlg0579.tlg002:205
102181	Ταίναρος	A	I	1	a	celebrants of this festival,	urn:cts:greekLit:tlg0000.tlg001.perseus-grc1:
102181	Ταίναρος	A	I	1	a	celebrants of this festival,	urn:cts:greekLit:tlg0000.tlg001.perseus-grc1:
102181	Ταίναρος	A	I	1	a	celebrants of this festival,	urn:cts:greekLit:tlg0000.tlg001.perseus-grc1:
102181	Ταίναρος	A	I	1	a	celebrants of this festival,	urn:cts:greekLit:tlg0000.tlg001.perseus-grc1:
102183	ταινία	A	I	1	a	band, fillet	urn:cts:greekLit:tlg0458.tlg001:3
102183	ταινία	A	I	1	a	band, fillet	urn:cts:greekLit:tlg1342.tlg001:112:6
102183	ταινία	A	I	1	a	band, fillet	urn:cts:greekLit:tlg0032.tlg004.perseus-grc1:5:9
102183	ταινία	A	I	1	a	band, fillet	urn:cts:greekLit:tlg0059.tlg011.perseus-grc1:212e
102183	ταινία	A	I	1	a	band, fillet	urn:cts:greekLit:tlg0525.tlg001.perseus-grc1:6:20:19
102183	ταινία	A	I	1	a	band, fillet	urn:cts:greekLit:tlg0014.tlg057.perseus-grc1:31
102183	ταινία	A	I	1	a	band, fillet	urn:cts:greekLit:tlg0000.tlg001.perseus-grc1:
102183	ταινία	A	I	1	a	band, fillet	urn:cts:greekLit:tlg0525.tlg001.perseus-grc1:9:39:8
102183	ταινία	A	I	1	a	band, fillet	urn:cts:greekLit:tlg0542.tlg001:7:65
102183	ταινία	A	I	1	a	band, fillet	urn:cts:greekLit:tlg0664.tlg001:142
102183	ταινία	A	I	1	a	band, fillet	urn:cts:greekLit:tlg0627.tlg010.perseus-grc1:50
102183	ταινία	A	I	1	a	band, fillet	urn:cts:greekLit:tlg0000.tlg001.perseus-grc1:
102183	ταινία	A	I	1	a	band, fillet	urn:cts:greekLit:tlg0000.tlg001.perseus-grc1:61
102183	ταινία	A	I	1	a	band, fillet	urn:cts:greekLit:tlg0565.tlg003:25
102183	ταινία	A	I	1	a	band, fillet	Perseus:abo:pap,P.Cair.Zen.:696
102183	ταινία	A	I	2	a	strip in fur	urn:cts:greekLit:tlg0024.tlg001.perseus-grc1:1:322
102183	ταινία	A	I	3	a	pennon	urn:cts:greekLit:tlg0612.tlg001:74:8
102183	ταινία	A	I	3	a	pennon	urn:cts:greekLit:tlg0542.tlg001:1:90
102183	ταινία	A	I	3	a	pennon	urn:cts:greekLit:tlg0060.tlg001.perseus-grc3:15:52
102183	ταινία	A	II	1	a	strip	urn:cts:greekLit:tlg0060.tlg001.perseus-grc3:1:31
102183	ταινία	A	II	1	a	strip	urn:cts:greekLit:tlg0551.tlg009.perseus-grc1:121
102183	ταινία	A	II	1	a	strip	urn:cts:greekLit:tlg0007.tlg047:26
102183	ταινία	A	II	1	a	strip	urn:cts:greekLit:tlg0000.tlg001.perseus-grc1:
102183	ταινία	A	II	1	a	strip	Perseus:abo:pap,P.Stras.:85:20
102183	ταινία	A	II	1	a	strip	urn:cts:greekLit:tlg0543.tlg001.perseus-grc1:4:41:1
102183	ταινία	A	II	1	a	strip	urn:cts:greekLit:tlg0099.tlg001.perseus-grc1:1:3:4
102183	ταινία	A	III	1	a	fillet, fascia	urn:cts:greekLit:tlg0000.tlg001.perseus-grc1:
102183	ταινία	A	III	1	a	fillet, fascia	urn:cts:greekLit:tlg0000.tlg001.perseus-grc1:50
102183	ταινία	A	III	1	a	fillet, fascia	urn:cts:greekLit:tlg0527.tlg053:27:5
102183	ταινία	A	III	1	a	fillet, fascia	urn:cts:greekLit:tlg4099.tlg001:749:38
102183	ταινία	A	III	1	a	fillet, fascia	Perseus:abo:pap,P.Cair.Zen.:665:8
102183	ταινία	A	IV	1	a	tape-worm	urn:cts:greekLit:tlg0000.tlg001.perseus-grc1:
102183	ταινία	A	IV	1	a	tape-worm	urn:cts:greekLit:tlg0000.tlg001.perseus-grc1:
102183	ταινία	A	V	1	a	a long, thin fish	urn:cts:greekLit:tlg0521.tlg001:56
102183	ταινία	A	V	1	a	a long, thin fish	urn:cts:greekLit:tlg0086.tlg014:504b:33
102183	ταινία	A	V	1	a	a long, thin fish	urn:cts:greekLit:tlg0000.tlg001.perseus-grc1:
102185	ταινίδιον	A	I	1	a	strip of linen	urn:cts:greekLit:tlg0000.tlg001.perseus-grc1:
102185	ταινίδιον	A	I	1	a	strip of linen	urn:cts:greekLit:tlg0627.tlg004.perseus-grc1:15
102185	ταινίδιον	A	I	1	a	strip of linen	urn:cts:greekLit:tlg0565.tlg003:36
102185	ταινίδιον	A	I	1	a	strip of linen	urn:cts:greekLit:tlg0000.tlg001.perseus-grc1:
102185	ταινίδιον	A	I	1	a	strip of linen	urn:cts:greekLit:tlg0722.tlg001:45:5:3
102185	ταινίδιον	A	I	1	a	strip of linen	urn:cts:greekLit:tlg0722.tlg001:45:26:1
102185	ταινίδιον	A	III	1	a	small jewel-case	urn:cts:greekLit:tlg0000.tlg001.perseus-grc1:
102185	ταινίδιον	A	III	1	a	small jewel-case	urn:cts:greekLit:tlg0000.tlg001.perseus-grc1:51
102185	ταινίδιον	A	III	1	a	small jewel-case	urn:cts:greekLit:tlg0000.tlg001.perseus-grc1:119
102185	ταινίδιον	A	III	1	a	small jewel-case	urn:cts:greekLit:tlg0000.tlg001.perseus-grc1:203
102185	ταινίδιον	A	III	1	a	small jewel-case	urn:cts:greekLit:tlg0000.tlg001.perseus-grc1:68
102185	ταινίδιον	A	III	1	a	small jewel-case	urn:cts:greekLit:tlg0000.tlg001.perseus-grc1:82
102185	ταινίδιον	A	III	1	a	small jewel-case	urn:cts:greekLit:tlg0000.tlg001.perseus-grc1:91
102185	ταινίδιον	A	III	1	a	small jewel-case	urn:cts:greekLit:tlg0000.tlg001.perseus-grc1:442
102185	ταινίδιον	A	III	1	a	small jewel-case	urn:cts:greekLit:tlg0000.tlg001.perseus-grc1:202
102185	ταινίδιον	A	IV	1	a	small ribbon	urn:cts:greekLit:tlg0000.tlg001.perseus-grc1:1018
102185	ταινίδιον	A	IV	1	a	small ribbon	urn:cts:greekLit:tlg0000.tlg001.perseus-grc1:
102185	ταινίδιον	A	IV	1	a	small ribbon	urn:cts:greekLit:tlg0000.tlg001.perseus-grc1:48
102185	ταινίδιον	A	IV	1	a	small ribbon	urn:cts:greekLit:tlg0000.tlg001.perseus-grc1:81
102187	ταινιοειδής	A	I	1	a	ribbon-like	urn:cts:greekLit:tlg0627.tlg010.perseus-grc1:47
102187	ταινιοειδής	A	I	1	a	ribbon-like	urn:cts:greekLit:tlg0093.tlg001:4:6:2
102188	ταινίον	A	I	1	a	small band,	urn:cts:greekLit:tlg0000.tlg001.perseus-grc1:
102188	ταινίον	A	I	1	a	small band,	urn:cts:greekLit:tlg0000.tlg001.perseus-grc1:
102189	ταινιόπωλις	A	I	1	a	dealer in	urn:cts:greekLit:tlg0461.tlg001:243
102189	ταινιόπωλις	A	I	1	a	dealer in	urn:cts:greekLit:tlg0014.tlg057.perseus-grc1:34
102190	ταινιόω	A	I	1	a	bind with a headband	urn:cts:greekLit:tlg0003.tlg001.perseus-grc1:4:121
102190	ταινιόω	A	I	1	a	bind with a headband	urn:cts:greekLit:tlg0032.tlg001.perseus-grc1:5:1:3
102190	ταινιόω	A	I	1	a	bind with a headband	urn:cts:greekLit:tlg0019.tlg009.perseus-grc1:395
102190	ταινιόω	A	I	1	a	bind with a headband	urn:cts:greekLit:tlg0060.tlg001.perseus-grc3:17:101
102190	ταινιόω	A	I	1	a	bind with a headband	urn:cts:greekLit:tlg0385.tlg001:39:25
102190	ταινιόω	A	I	1	a	bind with a headband	urn:cts:greekLit:tlg0099.tlg001.perseus-grc1:9:3:6
102190	ταινιόω	A	I	1	a	bind with a headband	urn:cts:greekLit:tlg0019.tlg010.perseus-grc1:1032
102192	ταινιωτικός	A	I	1	a	from the	urn:cts:greekLit:tlg0093.tlg005:11:2
102192	ταινιωτικός	A	I	1	a	from the	urn:cts:greekLit:tlg0008.tlg001.perseus-grc1:1:33e
102192	ταινιωτικός	A	I	1	a	from the	urn:cts:latinLit:phi0978.phi001:13:76
102194	ταί̈της	A	I	1	a	peacock stone	urn:cts:greekLit:tlg0000.tlg001.perseus-grc1:38
102195	τακερός	A	I	1	a	melting in the mouth, tender	urn:cts:greekLit:tlg0019.tlg012:4
102195	τακερός	A	I	1	a	melting in the mouth, tender	urn:cts:greekLit:tlg0627.tlg036:2:169
102195	τακερός	A	I	1	a	melting in the mouth, tender	urn:cts:greekLit:tlg0486.tlg001:108:13
102195	τακερός	A	I	1	a	melting in the mouth, tender	urn:cts:greekLit:tlg0486.tlg001:84
102195	τακερός	A	I	1	a	melting in the mouth, tender	urn:cts:greekLit:tlg0627.tlg025:56
102195	τακερός	A	I	1	a	melting in the mouth, tender	urn:cts:greekLit:tlg0000.tlg001.perseus-grc1:
102195	τακερός	A	I	1	a	melting in the mouth, tender	urn:cts:greekLit:tlg0410.tlg001:1:4
102195	τακερός	A	I	1	a	melting in the mouth, tender	urn:cts:greekLit:tlg0445.tlg001:3:7
102195	τακερός	A	I	1	a	melting in the mouth, tender	urn:cts:greekLit:tlg0000.tlg001.perseus-grc1:
