112910	χά	A	I	1	a	ha! ha!,	urn:cts:greekLit:tlg0000.tlg001.perseus-grc1:
112934	χαίρω	A	I	1	a	rejoice at, take pleasure in	urn:cts:greekLit:tlg0012.tlg002.perseus-grc1:2:35
112934	χαίρω	A	I	1	a	rejoice at, take pleasure in	urn:cts:greekLit:tlg0020.tlg002.perseus-grc1:358
112934	χαίρω	A	I	1	a	rejoice at, take pleasure in	urn:cts:greekLit:tlg0009.tlg001:25:5
112934	χαίρω	A	I	1	a	rejoice at, take pleasure in	urn:cts:greekLit:tlg0011.tlg004.perseus-grc1:1070
112934	χαίρω	A	I	1	a	rejoice at, take pleasure in	urn:cts:greekLit:tlg0059.tlg028.perseus-grc1:238d
112934	χαίρω	A	I	1	a	rejoice at, take pleasure in	urn:cts:greekLit:tlg0012.tlg002.perseus-grc1:3:52
112934	χαίρω	A	I	1	a	rejoice at, take pleasure in	urn:cts:greekLit:tlg0012.tlg001.perseus-grc1:5:682
112934	χαίρω	A	I	1	a	rejoice at, take pleasure in	urn:cts:greekLit:tlg0012.tlg001.perseus-grc1:24:706
112934	χαίρω	A	I	1	a	rejoice at, take pleasure in	urn:cts:greekLit:tlg0012.tlg002.perseus-grc1:19:463
112934	χαίρω	A	I	1	a	rejoice at, take pleasure in	urn:cts:greekLit:tlg0011.tlg008.perseus-grc1:926
112934	χαίρω	A	I	1	a	rejoice at, take pleasure in	urn:cts:greekLit:tlg0032.tlg002.perseus-grc1:2:6:35
112934	χαίρω	A	I	1	a	rejoice at, take pleasure in	urn:cts:greekLit:tlg0032.tlg007.perseus-grc1:8:4:12
112934	χαίρω	A	I	1	a	rejoice at, take pleasure in	urn:cts:greekLit:tlg0010.tlg013.perseus-grc1:30
112934	χαίρω	A	I	1	a	rejoice at, take pleasure in	urn:cts:greekLit:tlg0059.tlg034.perseus-grc1:739d
112934	χαίρω	A	I	1	a	rejoice at, take pleasure in	urn:cts:greekLit:tlg0461.tlg001:327
112934	χαίρω	A	I	1	a	rejoice at, take pleasure in	urn:cts:greekLit:tlg0006.tlg017.perseus-grc1:1040
112934	χαίρω	A	I	1	a	rejoice at, take pleasure in	urn:cts:greekLit:tlg0006.tlg017.perseus-grc1:1033
112934	χαίρω	A	I	1	a	rejoice at, take pleasure in	urn:cts:greekLit:tlg0085.tlg007.perseus-grc1:996
112934	χαίρω	A	I	1	a	rejoice at, take pleasure in	urn:cts:greekLit:tlg0011.tlg001.perseus-grc1:1119
112934	χαίρω	A	I	1	a	rejoice at, take pleasure in	urn:cts:greekLit:tlg0032.tlg007.perseus-grc1:8:1:33
112934	χαίρω	A	I	3	a	I rejoice at	urn:cts:greekLit:tlg0012.tlg001.perseus-grc1:19:185
112934	χαίρω	A	I	3	a	I rejoice at	urn:cts:greekLit:tlg0012.tlg001.perseus-grc1:7:54
112934	χαίρω	A	I	3	a	I rejoice at	urn:cts:greekLit:tlg0012.tlg001.perseus-grc1:11:73
112934	χαίρω	A	I	3	a	I rejoice at	urn:cts:greekLit:tlg0012.tlg002.perseus-grc1:14:377
112934	χαίρω	A	I	3	a	I rejoice at	urn:cts:greekLit:tlg0012.tlg002.perseus-grc1:12:380
112934	χαίρω	A	I	3	a	I rejoice at	urn:cts:greekLit:tlg0020.tlg002.perseus-grc1:55
112934	χαίρω	A	I	3	a	I rejoice at	urn:cts:greekLit:tlg0033.tlg003.perseus-grc1:8:49
112934	χαίρω	A	I	3	a	I rejoice at	urn:cts:greekLit:tlg0006.tlg002.perseus-grc1:691
112934	χαίρω	A	I	3	a	I rejoice at	urn:cts:greekLit:tlg0019.tlg011.perseus-grc1:247
112934	χαίρω	A	I	3	a	I rejoice at	urn:cts:greekLit:tlg0019.tlg002.perseus-grc1:1116
112934	χαίρω	A	I	3	a	I rejoice at	urn:cts:greekLit:tlg0059.tlg011.perseus-grc1:191e
112934	χαίρω	A	I	3	b	delight in	urn:cts:greekLit:tlg0016.tlg001.perseus-grc1:7:236
112934	χαίρω	A	I	3	b	delight in	urn:cts:greekLit:tlg0011.tlg006.perseus-grc1:449
112934	χαίρω	A	I	3	b	delight in	urn:cts:greekLit:tlg0019.tlg004.perseus-grc1:764
112934	χαίρω	A	I	3	b	delight in	urn:cts:greekLit:tlg0059.tlg022:318d
112934	χαίρω	A	I	3	b	delight in	urn:cts:greekLit:tlg0059.tlg022:346c
112934	χαίρω	A	I	3	b	delight in	urn:cts:greekLit:tlg0059.tlg022:358a
112934	χαίρω	A	II	1	a	thou wilt	urn:cts:greekLit:tlg0019.tlg011.perseus-grc1:64
112934	χαίρω	A	II	1	a	thou wilt	urn:cts:greekLit:tlg0019.tlg002.perseus-grc1:235
112934	χαίρω	A	II	1	a	thou wilt	urn:cts:greekLit:tlg0012.tlg001.perseus-grc1:20:363
112934	χαίρω	A	II	1	a	thou wilt	urn:cts:greekLit:tlg0012.tlg001.perseus-grc1:15:98
112934	χαίρω	A	II	1	a	thou wilt	urn:cts:greekLit:tlg0012.tlg002.perseus-grc1:2:249
112934	χαίρω	A	II	1	a	thou wilt	urn:cts:greekLit:tlg0019.tlg004.perseus-grc1:186
112934	χαίρω	A	II	1	a	thou wilt	urn:cts:greekLit:tlg0016.tlg001.perseus-grc1:1:128
112934	χαίρω	A	II	1	a	thou wilt	urn:cts:greekLit:tlg0007.tlg047:51
112934	χαίρω	A	II	1	a	thou wilt	urn:cts:greekLit:tlg0014.tlg019.perseus-grc1:299
112934	χαίρω	A	II	1	a	thou wilt	urn:cts:greekLit:tlg0007.tlg036:25
112934	χαίρω	A	II	1	a	thou wilt	urn:cts:greekLit:tlg0007.tlg036:2
112934	χαίρω	A	III	1	a	hail, welcome	urn:cts:greekLit:tlg0385.tlg001:69:18
112934	χαίρω	A	III	1	a	hail, welcome	urn:cts:greekLit:tlg0000.tlg001.perseus-grc1:
112934	χαίρω	A	III	1	a	hail, welcome	urn:cts:greekLit:tlg0012.tlg001.perseus-grc1:9:197
112934	χαίρω	A	III	1	a	hail, welcome	urn:cts:greekLit:tlg0012.tlg002.perseus-grc1:13:229
112934	χαίρω	A	III	1	a	hail, welcome	urn:cts:greekLit:tlg0012.tlg002.perseus-grc1:1:123
112934	χαίρω	A	III	1	a	hail, welcome	urn:cts:greekLit:tlg0012.tlg002.perseus-grc1:24:402
112934	χαίρω	A	III	1	a	hail, welcome	urn:cts:greekLit:tlg0012.tlg001.perseus-grc1:23:19
112934	χαίρω	A	III	1	a	hail, welcome	urn:cts:greekLit:tlg0011.tlg007.perseus-grc1:1137
112934	χαίρω	A	III	1	a	hail, welcome	urn:cts:greekLit:tlg0085.tlg007.perseus-grc1:996
112934	χαίρω	A	III	1	a	hail, welcome	urn:cts:greekLit:tlg0085.tlg007.perseus-grc1:1014
112934	χαίρω	A	III	1	a	hail, welcome	urn:cts:greekLit:tlg0011.tlg003.perseus-grc1:91
112934	χαίρω	A	III	1	a	hail, welcome	urn:cts:greekLit:tlg0011.tlg006.perseus-grc1:462
112934	χαίρω	A	III	1	a	hail, welcome	urn:cts:greekLit:tlg0085.tlg005.perseus-grc1:508
112934	χαίρω	A	III	1	a	hail, welcome	urn:cts:greekLit:tlg0085.tlg005.perseus-grc1:22
112934	χαίρω	A	III	1	a	hail, welcome	urn:cts:greekLit:tlg0011.tlg006.perseus-grc1:1453
112934	χαίρω	A	III	1	b	accept the greeting,	urn:cts:greekLit:tlg0085.tlg005.perseus-grc1:538
112934	χαίρω	A	III	1	b	accept the greeting,	urn:cts:greekLit:tlg0011.tlg004.perseus-grc1:596
112934	χαίρω	A	III	1	b	accept the greeting,	urn:cts:greekLit:tlg0059.tlg018:164e
112934	χαίρω	A	III	1	b	accept the greeting,	urn:cts:greekLit:tlg0011.tlg001.perseus-grc1:227
112934	χαίρω	A	III	1	b	accept the greeting,	urn:cts:greekLit:tlg0032.tlg002.perseus-grc1:3:13:1
112934	χαίρω	A	III	1	b	accept the greeting,	urn:cts:greekLit:tlg0011.tlg003.perseus-grc1:112
112934	χαίρω	A	III	2	a	fare-thee-well,	urn:cts:greekLit:tlg0012.tlg002.perseus-grc1:5:205
112934	χαίρω	A	III	2	a	fare-thee-well,	urn:cts:greekLit:tlg0012.tlg002.perseus-grc1:13:59
112934	χαίρω	A	III	2	a	fare-thee-well,	urn:cts:greekLit:tlg0012.tlg002.perseus-grc1:15:151
112934	χαίρω	A	III	2	a	fare-thee-well,	urn:cts:greekLit:tlg0019.tlg009.perseus-grc1:164
112934	χαίρω	A	III	2	a	fare-thee-well,	urn:cts:greekLit:tlg0005.tlg001.perseus-grc1:1:144
112934	χαίρω	A	III	2	a	fare-thee-well,	urn:cts:greekLit:tlg0011.tlg003.perseus-grc1:863
112934	χαίρω	A	III	2	a	fare-thee-well,	urn:cts:greekLit:tlg0011.tlg001.perseus-grc1:921
112934	χαίρω	A	III	2	a	fare-thee-well,	urn:cts:greekLit:tlg0059.tlg004.perseus-grc1:116d
112934	χαίρω	A	III	2	a	fare-thee-well,	urn:cts:greekLit:tlg0000.tlg001.perseus-grc1:
112934	χαίρω	A	III	2	b	have done with . . , away with	urn:cts:greekLit:tlg0016.tlg001.perseus-grc1:4:96
112934	χαίρω	A	III	2	b	have done with . . , away with	urn:cts:greekLit:tlg0006.tlg003.perseus-grc1:1044
112934	χαίρω	A	III	2	b	have done with . . , away with	urn:cts:greekLit:tlg0006.tlg009.perseus-grc1:575
112934	χαίρω	A	III	2	b	have done with . . , away with	urn:cts:greekLit:tlg0059.tlg011.perseus-grc1:199a
112934	χαίρω	A	III	2	b	have done with . . , away with	urn:cts:greekLit:tlg0059.tlg034.perseus-grc1:636d
112934	χαίρω	A	III	2	b	have done with . . , away with	urn:cts:greekLit:tlg0059.tlg034.perseus-grc1:886d
112934	χαίρω	A	III	2	c	dismiss from one's mind, put away, renounce,	urn:cts:greekLit:tlg0016.tlg001.perseus-grc1:6:23
112934	χαίρω	A	III	2	c	dismiss from one's mind, put away, renounce,	urn:cts:greekLit:tlg0016.tlg001.perseus-grc1:9:41
112934	χαίρω	A	III	2	c	dismiss from one's mind, put away, renounce,	urn:cts:greekLit:tlg0019.tlg011.perseus-grc1:1187
112934	χαίρω	A	III	2	c	dismiss from one's mind, put away, renounce,	urn:cts:greekLit:tlg0059.tlg004.perseus-grc1:63e
112934	χαίρω	A	III	2	c	dismiss from one's mind, put away, renounce,	urn:cts:greekLit:tlg0059.tlg022:348a
112934	χαίρω	A	III	2	c	dismiss from one's mind, put away, renounce,	urn:cts:greekLit:tlg0032.tlg006.perseus-grc1:7:3:23
112934	χαίρω	A	III	2	c	dismiss from one's mind, put away, renounce,	urn:cts:greekLit:tlg0059.tlg010:59b
112934	χαίρω	A	III	2	c	dismiss from one's mind, put away, renounce,	urn:cts:greekLit:tlg0062.tlg059:3
112934	χαίρω	A	III	2	c	dismiss from one's mind, put away, renounce,	urn:cts:greekLit:tlg0545.tlg002:12:1
112934	χαίρω	A	III	2	c	dismiss from one's mind, put away, renounce,	urn:cts:greekLit:tlg0000.tlg001.perseus-grc1:86
112934	χαίρω	A	III	2	c	dismiss from one's mind, put away, renounce,	urn:cts:greekLit:tlg0006.tlg005.perseus-grc1:113
112934	χαίρω	A	III	2	c	dismiss from one's mind, put away, renounce,	urn:cts:greekLit:tlg0006.tlg005.perseus-grc1:1059
112934	χαίρω	A	III	2	c	dismiss from one's mind, put away, renounce,	urn:cts:greekLit:tlg0059.tlg006.perseus-grc1:188a
112934	χαίρω	A	III	2	c	dismiss from one's mind, put away, renounce,	urn:cts:greekLit:tlg0019.tlg001.perseus-grc1:200
112934	χαίρω	A	III	2	c	dismiss from one's mind, put away, renounce,	urn:cts:greekLit:tlg0000.tlg001.perseus-grc1:
112934	χαίρω	A	III	2	c	dismiss from one's mind, put away, renounce,	urn:cts:greekLit:tlg0061.tlg003:50
112934	χαίρω	A	III	2	c	dismiss from one's mind, put away, renounce,	urn:cts:greekLit:tlg0019.tlg011.perseus-grc1:322
112934	χαίρω	A	III	2	c	dismiss from one's mind, put away, renounce,	urn:cts:greekLit:tlg0059.tlg034.perseus-grc1:771a
112934	χαίρω	A	III	2	c	dismiss from one's mind, put away, renounce,	urn:cts:greekLit:tlg0461.tlg001:308
112934	χαίρω	A	III	2	c	dismiss from one's mind, put away, renounce,	urn:cts:greekLit:tlg0085.tlg005.perseus-grc1:572
112934	χαίρω	A	III	2	c	dismiss from one's mind, put away, renounce,	urn:cts:greekLit:tlg0019.tlg003.perseus-grc1:609
112934	χαίρω	A	III	2	c	dismiss from one's mind, put away, renounce,	urn:cts:greekLit:tlg0059.tlg012:272e
112934	χαίρω	A	III	2	c	dismiss from one's mind, put away, renounce,	urn:cts:greekLit:tlg0059.tlg004.perseus-grc1:64c
112934	χαίρω	A	III	2	c	dismiss from one's mind, put away, renounce,	urn:cts:greekLit:tlg0059.tlg030.perseus-grc1:406d
112934	χαίρω	A	III	2	c	dismiss from one's mind, put away, renounce,	urn:cts:greekLit:tlg0032.tlg001.perseus-grc1:4:1:31
112934	χαίρω	A	III	2	c	dismiss from one's mind, put away, renounce,	urn:cts:greekLit:tlg0000.tlg001.perseus-grc1:
112934	χαίρω	A	III	2	c	dismiss from one's mind, put away, renounce,	urn:cts:greekLit:tlg0000.tlg001.perseus-grc1:
112934	χαίρω	A	III	3	a	be of good cheer,	urn:cts:greekLit:tlg0012.tlg002.perseus-grc1:8:408
112934	χαίρω	A	III	3	a	be of good cheer,	urn:cts:greekLit:tlg0012.tlg002.perseus-grc1:4:60
112934	χαίρω	A	III	3	a	be of good cheer,	urn:cts:greekLit:tlg0012.tlg002.perseus-grc1:18:122
112934	χαίρω	A	III	3	a	be of good cheer,	urn:cts:greekLit:tlg0012.tlg002.perseus-grc1:11:248
112934	χαίρω	A	III	3	a	be of good cheer,	urn:cts:greekLit:tlg0012.tlg002.perseus-grc1:13:358
112934	χαίρω	A	III	3	a	be of good cheer,	urn:cts:greekLit:tlg0013.tlg009.perseus-grc1:7
112934	χαίρω	A	IV	1	a	in joy,	urn:cts:greekLit:tlg0012.tlg002.perseus-grc1:17:83
112934	χαίρω	A	IV	1	a	in joy,	urn:cts:greekLit:tlg0086.tlg038.perseus-grc1:1356a:16
112934	χαίρω	A	IV	1	a	in joy,	urn:cts:greekLit:tlg0016.tlg001.perseus-grc1:3:27
112934	χαίρω	A	IV	1	a	in joy,	urn:cts:greekLit:tlg0016.tlg001.perseus-grc1:42
112934	χαίρω	A	IV	2	a	safe and sound, with impunity,	urn:cts:greekLit:tlg0016.tlg001.perseus-grc1:69
112934	χαίρω	A	IV	2	a	safe and sound, with impunity,	urn:cts:greekLit:tlg0016.tlg001.perseus-grc1:9:106
112934	χαίρω	A	IV	2	a	safe and sound, with impunity,	urn:cts:greekLit:tlg0014.tlg024.perseus-grc1:153
112934	χαίρω	A	IV	2	a	safe and sound, with impunity,	urn:cts:greekLit:tlg0016.tlg001.perseus-grc1:3:29
112934	χαίρω	A	IV	2	a	safe and sound, with impunity,	urn:cts:greekLit:tlg0011.tlg004.perseus-grc1:363
112934	χαίρω	A	IV	2	a	safe and sound, with impunity,	urn:cts:greekLit:tlg0011.tlg002.perseus-grc1:759
112934	χαίρω	A	IV	2	a	safe and sound, with impunity,	urn:cts:greekLit:tlg0011.tlg006.perseus-grc1:1299
112934	χαίρω	A	IV	2	a	safe and sound, with impunity,	urn:cts:greekLit:tlg0006.tlg003.perseus-grc1:398
112934	χαίρω	A	IV	2	a	safe and sound, with impunity,	urn:cts:greekLit:tlg0019.tlg001.perseus-grc1:563
112934	χαίρω	A	IV	2	a	safe and sound, with impunity,	urn:cts:greekLit:tlg0059.tlg023:510d
112934	χαίρω	A	IV	2	a	safe and sound, with impunity,	urn:cts:greekLit:tlg0461.tlg001:90
112934	χαίρω	A	IV	2	a	safe and sound, with impunity,	urn:cts:greekLit:tlg0032.tlg006.perseus-grc1:5:6:32
112934	χαίρω	A	IV	2	a	safe and sound, with impunity,	urn:cts:greekLit:tlg0019.tlg004.perseus-grc1:186
112934	χαίρω	A	IV	2	a	safe and sound, with impunity,	urn:cts:greekLit:tlg0019.tlg004.perseus-grc1:11
112934	χαίρω	A	IV	3	a	fare	urn:cts:greekLit:tlg0019.tlg004.perseus-grc1:111
112934	χαίρω	A	IV	3	a	fare	urn:cts:greekLit:tlg0012.tlg002.perseus-grc1:15:128
112934	χαίρω	A	IV	3	a	fare	urn:cts:greekLit:tlg0005.tlg001.perseus-grc1:2:163
112934	χαίρω	A	IV	3	a	fare	urn:cts:greekLit:tlg0009.tlg001:23:7
112934	χαίρω	A	IV	3	a	fare	urn:cts:greekLit:tlg0011.tlg001.perseus-grc1:819
112934	χαίρω	A	IV	3	a	fare	urn:cts:greekLit:tlg0006.tlg002.perseus-grc1:813
112934	χαίρω	A	IV	3	a	fare	urn:cts:greekLit:tlg0006.tlg015.perseus-grc1:921
112934	χαίρω	A	IV	3	a	fare	urn:cts:greekLit:tlg0006.tlg005.perseus-grc1:1440
112934	χαίρω	A	V	1	a	háryati	urn:cts:greekLit:tlg2583.tlg001:2:348
112936	χαίτη	A	I	1	a	loose, flowing hair,	urn:cts:greekLit:tlg0012.tlg001.perseus-grc1:23:141
112936	χαίτη	A	I	1	a	loose, flowing hair,	urn:cts:greekLit:tlg0012.tlg002.perseus-grc1:10:567
112936	χαίτη	A	I	1	a	loose, flowing hair,	urn:cts:greekLit:tlg0011.tlg003.perseus-grc1:634
112936	χαίτη	A	I	1	a	loose, flowing hair,	urn:cts:greekLit:tlg0199.tlg001:10:28
112936	χαίτη	A	I	1	a	loose, flowing hair,	urn:cts:greekLit:tlg0012.tlg001.perseus-grc1:14:175
112936	χαίτη	A	I	1	a	loose, flowing hair,	urn:cts:greekLit:tlg0012.tlg001.perseus-grc1:10:15
112936	χαίτη	A	I	1	a	loose, flowing hair,	urn:cts:greekLit:tlg0033.tlg003.perseus-grc1:1:14
112936	χαίτη	A	I	1	a	loose, flowing hair,	urn:cts:greekLit:tlg0199.tlg002:16:105
112936	χαίτη	A	I	1	a	loose, flowing hair,	urn:cts:greekLit:tlg0266.tlg001:1:39
112936	χαίτη	A	I	1	a	loose, flowing hair,	urn:cts:greekLit:tlg0564.tlg003:14
112936	χαίτη	A	I	2	a	mane,	urn:cts:greekLit:tlg0012.tlg001.perseus-grc1:17:439
112936	χαίτη	A	I	2	a	mane,	urn:cts:greekLit:tlg0012.tlg001.perseus-grc1:19:405
112936	χαίτη	A	I	2	a	mane,	urn:cts:greekLit:tlg0012.tlg001.perseus-grc1:6:509
112936	χαίτη	A	I	2	a	mane,	urn:cts:greekLit:tlg0032.tlg013.perseus-grc1:5:5
112936	χαίτη	A	I	2	a	mane,	urn:cts:greekLit:tlg0032.tlg013.perseus-grc1:7:1
112936	χαίτη	A	I	2	a	mane,	urn:cts:greekLit:tlg0007.tlg021:22
112936	χαίτη	A	I	3	a	mane,	urn:cts:greekLit:tlg0000.tlg001.perseus-grc1:
112936	χαίτη	A	I	3	a	mane,	urn:cts:greekLit:tlg0006.tlg015.perseus-grc1:1121
112936	χαίτη	A	I	3	a	mane,	urn:cts:greekLit:tlg0086.tlg014:498b:28
112936	χαίτη	A	I	3	a	mane,	urn:cts:greekLit:tlg0086.tlg030:658a:31
112936	χαίτη	A	I	3	a	mane,	urn:cts:greekLit:tlg0019.tlg009.perseus-grc1:822
112936	χαίτη	A	I	4	a	crest	urn:cts:greekLit:tlg0007.tlg047:16
112936	χαίτη	A	I	5	a	foliage,	urn:cts:greekLit:tlg0533.tlg002:81
112936	χαίτη	A	I	5	a	foliage,	urn:cts:greekLit:tlg0005.tlg001.perseus-grc1:6:16
112936	χαίτη	A	I	5	a	foliage,	urn:cts:greekLit:tlg0000.tlg001.perseus-grc1:17
112936	χαίτη	A	I	5	a	foliage,	urn:cts:greekLit:tlg0000.tlg001.perseus-grc1:
112936	χαίτη	A	I	5	a	foliage,	urn:cts:greekLit:tlg0099.tlg001.perseus-grc1:17:1:15
